RefSeq,Organism,Lineage,DoriC_oriC_0,DoriC_oriC_1,DoriC_oriC_2,DoriC_oriC_3
NC_020561,Sphingomonas sp. MM-1,"Bacteria, Proteobacteria, Alphaproteobacteria, Sphingomonadales, Sphingomonadaceae, Sphingomonas","(2133747.0, 2134058.0)",,,
NC_020796,Edwardsiella tarda C07-087,"Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae, Edwardsiella","(3824788.0, 3825183.0)",,,
NC_020799,Ralstonia solanacearum FQY_4,"Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Burkholderiaceae, Ralstonia","(3715316.0, 485.0)",,,
NC_020800,Xanthomonas axonopodis Xac29-1,"Bacteria, Proteobacteria, Gammaproteobacteria, Xanthomonadales, Xanthomonadaceae, Xanthomonas","(2748.0, 3870.0)",,,
NC_020802,Psychromonas sp. CNPT3,"Bacteria, Proteobacteria, Gammaproteobacteria, Alteromonadales, Psychromonadaceae, Psychromonas","(3052045.0, 91.0)",,,
NC_020813,Bdellovibrio exovorus JSS,"Bacteria, Proteobacteria, Deltaproteobacteria, Bdellovibrionales, Bdellovibrionaceae, Bdellovibrio","(1396.0, 1606.0)",,,
NC_020829,Pseudomonas denitrificans ATCC 13867,"Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas","(5695787.0, 5696307.0)",,,
NC_020833,Mannheimia haemolytica USDA-ARS-USMARC-183,"Bacteria, Proteobacteria, Gammaproteobacteria, Pasteurellales, Pasteurellaceae, Mannheimia","(57683.0, 58130.0)",,,
NC_020834,Mannheimia haemolytica USDA-ARS-SAM-185,"Bacteria, Proteobacteria, Gammaproteobacteria, Pasteurellales, Pasteurellaceae, Mannheimia","(14558.0, 15115.0)",,,
NC_020887,Clostridium stercorarium subsp. stercorarium DSM 8532,"Bacteria, Firmicutes, Clostridia, Clostridiales, Ruminococcaceae, Ruminiclostridium","(1541.0, 1823.0)",,,
NC_020888,Thalassolituus oleivorans MIL-1 complete genome,"Bacteria, Proteobacteria, Gammaproteobacteria, Oceanospirillales, Thalassolituus","(3910428.0, 3910747.0)",,,
NC_020891,Clavibacter michiganensis subsp. nebraskensis NCPPB 2581 complete genome,"Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Micrococcineae, Microbacteriaceae, Clavibacter","(1435.0, 1974.0)",,,
NC_020895,Streptomyces hygroscopicus subsp. jinggangensis TL01,"Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Streptomycineae, Streptomycetaceae, Streptomyces","(5640054.0, 5641148.0)",,,
NC_020908,Octadecabacter arcticus 238,"Bacteria, Proteobacteria, Alphaproteobacteria, Rhodobacterales, Rhodobacteraceae, Octadecabacter","(4705577.0, 4706094.0)",,,
NC_020911,Octadecabacter antarcticus 307,"Bacteria, Proteobacteria, Alphaproteobacteria, Rhodobacterales, Rhodobacteraceae, Octadecabacter","(4733677.0, 4734193.0)",,,
NC_020912,Pseudomonas aeruginosa B136-33,"Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas","(6420968.0, 482.0)",,,
NC_020929,Chlamydia trachomatis L1/115 complete genome,"Bacteria, Chlamydiae, Chlamydiales, Chlamydiaceae, Chlamydia/Chlamydophila group, Chlamydia","(717136.0, 717432.0)",,,
NC_020930,Chlamydia trachomatis L2/25667R complete genome,"Bacteria, Chlamydiae, Chlamydiales, Chlamydiaceae, Chlamydia/Chlamydophila group, Chlamydia","(716895.0, 717191.0)",,,
NC_020931,Chlamydia trachomatis L2b/UCH-2 complete genome,"Bacteria, Chlamydiae, Chlamydiales, Chlamydiaceae, Chlamydia/Chlamydophila group, Chlamydia","(716890.0, 717186.0)",,,
NC_020932,Chlamydia trachomatis L2b/Canada2 high quality draft genome sequence,"Bacteria, Chlamydiae, Chlamydiales, Chlamydiaceae, Chlamydia/Chlamydophila group, Chlamydia","(716746.0, 717042.0)",,,
NC_020933,Chlamydia trachomatis L2b/Ams1 complete genome,"Bacteria, Chlamydiae, Chlamydiales, Chlamydiaceae, Chlamydia/Chlamydophila group, Chlamydia","(716890.0, 717186.0)",,,
NC_020934,Chlamydia trachomatis L2b/Ams2 high quality draft genome sequence,"Bacteria, Chlamydiae, Chlamydiales, Chlamydiaceae, Chlamydia/Chlamydophila group, Chlamydia","(716890.0, 717186.0)",,,
NC_020935,Chlamydia trachomatis L2b/Canada1 high quality draft genome sequence,"Bacteria, Chlamydiae, Chlamydiales, Chlamydiaceae, Chlamydia/Chlamydophila group, Chlamydia","(716637.0, 716933.0)",,,
NC_020936,Chlamydia trachomatis L2b/Ams5 high quality draft genome sequence,"Bacteria, Chlamydiae, Chlamydiales, Chlamydiaceae, Chlamydia/Chlamydophila group, Chlamydia","(716875.0, 717171.0)",,,
NC_020937,Chlamydia trachomatis L1/440/LN complete genome,"Bacteria, Chlamydiae, Chlamydiales, Chlamydiaceae, Chlamydia/Chlamydophila group, Chlamydia","(717301.0, 717597.0)",,,
NC_020938,Chlamydia trachomatis L2b/795 complete genome,"Bacteria, Chlamydiae, Chlamydiales, Chlamydiaceae, Chlamydia/Chlamydophila group, Chlamydia","(716746.0, 717042.0)",,,
NC_020939,Chlamydia trachomatis A/5291 complete genome,"Bacteria, Chlamydiae, Chlamydiales, Chlamydiaceae, Chlamydia/Chlamydophila group, Chlamydia","(722255.0, 722551.0)",,,
NC_020940,Chlamydia trachomatis Ia/SotonIa3 complete genome,"Bacteria, Chlamydiae, Chlamydiales, Chlamydiaceae, Chlamydia/Chlamydophila group, Chlamydia","(720823.0, 721119.0)",,,
NC_020941,Chlamydia trachomatis G/SotonG1 complete genome,"Bacteria, Chlamydiae, Chlamydiales, Chlamydiaceae, Chlamydia/Chlamydophila group, Chlamydia","(720300.0, 720596.0)",,,
NC_020942,Chlamydia trachomatis E/SotonE8 high quality draft genome,"Bacteria, Chlamydiae, Chlamydiales, Chlamydiaceae, Chlamydia/Chlamydophila group, Chlamydia","(726811.0, 727107.0)",,,
NC_020943,Chlamydia trachomatis D/SotonD5 complete genome,"Bacteria, Chlamydiae, Chlamydiales, Chlamydiaceae, Chlamydia/Chlamydophila group, Chlamydia","(720202.0, 720498.0)",,,
NC_020944,Chlamydia trachomatis A/7249 complete genome,"Bacteria, Chlamydiae, Chlamydiales, Chlamydiaceae, Chlamydia/Chlamydophila group, Chlamydia","(722563.0, 722859.0)",,,
NC_020945,Chlamydia trachomatis L2b/8200/07 complete genome,"Bacteria, Chlamydiae, Chlamydiales, Chlamydiaceae, Chlamydia/Chlamydophila group, Chlamydia","(716890.0, 717186.0)",,,
NC_020964,Chlamydia trachomatis F/SotonF3 high quality draft genome sequence,"Bacteria, Chlamydiae, Chlamydiales, Chlamydiaceae, Chlamydia/Chlamydophila group, Chlamydia","(720804.0, 721100.0)",,,
NC_020965,Chlamydia trachomatis K/SotonK1 complete genome,"Bacteria, Chlamydiae, Chlamydiales, Chlamydiaceae, Chlamydia/Chlamydophila group, Chlamydia","(720481.0, 720777.0)",,,
NC_020966,Chlamydia trachomatis A/363 complete genome,"Bacteria, Chlamydiae, Chlamydiales, Chlamydiaceae, Chlamydia/Chlamydophila group, Chlamydia","(722261.0, 722557.0)",,,
NC_020967,Chlamydia trachomatis D/SotonD1 high quality draft genome sequence,"Bacteria, Chlamydiae, Chlamydiales, Chlamydiaceae, Chlamydia/Chlamydophila group, Chlamydia","(720602.0, 720898.0)",,,
NC_020968,Chlamydia trachomatis D/SotonD6 high quality draft genome sequence,"Bacteria, Chlamydiae, Chlamydiales, Chlamydiaceae, Chlamydia/Chlamydophila group, Chlamydia","(720607.0, 720903.0)",,,
NC_020969,Chlamydia trachomatis E/SotonE4 complte genome,"Bacteria, Chlamydiae, Chlamydiales, Chlamydiaceae, Chlamydia/Chlamydophila group, Chlamydia","(720625.0, 720921.0)",,,
NC_020970,Chlamydia trachomatis Ia/SotonIa1 complete genome,"Bacteria, Chlamydiae, Chlamydiales, Chlamydiaceae, Chlamydia/Chlamydophila group, Chlamydia","(720670.0, 720966.0)",,,
NC_020971,Chlamydia trachomatis E/Bour complete genome,"Bacteria, Chlamydiae, Chlamydiales, Chlamydiaceae, Chlamydia/Chlamydophila group, Chlamydia","(720675.0, 720974.0)",,,
NC_020972,Chlamydia trachomatis L1/1322/p2 high quality draft genome,"Bacteria, Chlamydiae, Chlamydiales, Chlamydiaceae, Chlamydia/Chlamydophila group, Chlamydia","(717485.0, 717781.0)",,,
NC_020973,Chlamydia trachomatis L1/224 complete genome,"Bacteria, Chlamydiae, Chlamydiales, Chlamydiaceae, Chlamydia/Chlamydophila group, Chlamydia","(716870.0, 717166.0)",,,
NC_020974,Chlamydia trachomatis L3/404/LN complete genome,"Bacteria, Chlamydiae, Chlamydiales, Chlamydiaceae, Chlamydia/Chlamydophila group, Chlamydia","(717298.0, 717594.0)",,,
NC_020975,Chlamydia trachomatis L2b/LST high quality draft genome sequence,"Bacteria, Chlamydiae, Chlamydiales, Chlamydiaceae, Chlamydia/Chlamydophila group, Chlamydia","(716902.0, 717198.0)",,,
NC_020976,Chlamydia trachomatis L2b/CV204 high quality draft genome sequence,"Bacteria, Chlamydiae, Chlamydiales, Chlamydiaceae, Chlamydia/Chlamydophila group, Chlamydia","(716903.0, 717199.0)",,,
NC_020977,Chlamydia trachomatis L2b/Ams3 high quality draft genome sequence,"Bacteria, Chlamydiae, Chlamydiales, Chlamydiaceae, Chlamydia/Chlamydophila group, Chlamydia","(716743.0, 717039.0)",,,
NC_020978,Chlamydia trachomatis L2b/Ams4 high quality draft genome sequence,"Bacteria, Chlamydiae, Chlamydiales, Chlamydiaceae, Chlamydia/Chlamydophila group, Chlamydia","(716890.0, 717186.0)",,,
NC_020990,Streptomyces albus J1074,"Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Streptomycineae, Streptomycetaceae, Streptomyces","(3419111.0, 3420244.0)",,,
NC_020992,Rickettsia prowazekii str. NMRC Madrid E,"Bacteria, Proteobacteria, Alphaproteobacteria, Rickettsiales, Rickettsiaceae, Rickettsieae, Rickettsia, typhus group","(184022.0, 184426.0)",,,
NC_020993,Rickettsia prowazekii str. Breinl,"Bacteria, Proteobacteria, Alphaproteobacteria, Rickettsiales, Rickettsiaceae, Rickettsieae, Rickettsia, typhus group","(9382.0, 11018.0)",,,
NC_021002,Mycoplasma fermentans PG18 DNA,"Bacteria, Tenericutes, Mollicutes, Mycoplasmataceae, Mycoplasma","(762739.0, 763366.0)",,,
NC_021007,Candidatus Mycoplasma haemominutum 'Birmingham 1' noncontiguous finished genome,"Bacteria, Tenericutes, Mollicutes, Mycoplasmataceae, Mycoplasma","(496837.0, 497222.0)",,,
NC_021010,Eubacterium rectale DSM 17629 draft genome,"Bacteria, Firmicutes, Clostridia, Clostridiales, Eubacteriaceae, Eubacterium","(3308375.0, 3308811.0)",,,
NC_021012,Roseburia intestinalis XB6B4 draft genome,"Bacteria, Firmicutes, Clostridia, Clostridiales, Lachnospiraceae, Roseburia","(2464206.0, 2464859.0)",,,
NC_021013,Ruminococcus bromii L2-63 draft genome,"Bacteria, Firmicutes, Clostridia, Clostridiales, Ruminococcaceae, Ruminococcus","(677734.0, 678191.0)",,,
NC_021014,Ruminococcus sp. SR1/5 draft genome,"Bacteria, Firmicutes, Clostridia, Clostridiales, Ruminococcaceae, Ruminococcus","(2464408.0, 2464685.0)",,,
NC_021017,Bacteroides xylanisolvens XB1A draft genome,"Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Bacteroidaceae, Bacteroides","(2943767.0, 2944938.0)",,,
NC_021019,Eubacterium cylindroides T2-87 draft genome,"Bacteria, Firmicutes, Erysipelotrichia, Erysipelotrichales, Erysipelotrichaceae","(1290004.0, 1290653.0)",,,
NC_021020,Faecalibacterium prausnitzii SL3/3 draft genome,"Bacteria, Firmicutes, Clostridia, Clostridiales, Ruminococcaceae, Faecalibacterium","(938788.0, 939715.0)",,,
NC_021022,Ruminococcus obeum A2-162 draft genome,"Bacteria, Firmicutes, Clostridia, Clostridiales, Lachnospiraceae, Blautia","(1084014.0, 1084580.0)",,,
NC_021025,Mycoplasma mycoides subsp. mycoides SC str. Gladysdale MU clone SC5,"Bacteria, Tenericutes, Mollicutes, Mycoplasmataceae, Mycoplasma","(1193524.0, 160.0)",,,
NC_021031,Butyrivibrio fibrisolvens 16/4 draft genome,"Bacteria, Firmicutes, Clostridia, Clostridiales, Lachnospiraceae, Butyrivibrio","(2777084.0, 2777355.0)",,,
NC_021036,Taylorella equigenitalis 14/56 draft genome,"Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Alcaligenaceae, Taylorella","(940108.0, 940499.0)",,,
NC_021038,Synergistetes bacterium SGP1,"Bacteria, Synergistetes, Synergistia, Synergistales, Synergistaceae, Fretibacterium","(2175782.0, 2177754.0)",,,
NC_021039,Ruminococcus champanellensis 18P13,"Bacteria, Firmicutes, Clostridia, Clostridiales, Ruminococcaceae, Ruminococcus","(300625.0, 302959.0)",,,
NC_021040,Roseburia intestinalis M50/1 draft genome,"Bacteria, Firmicutes, Clostridia, Clostridiales, Lachnospiraceae, Roseburia","(3242755.0, 3243433.0)",,,
NC_021041,Megamonas hypermegale ART12/1 draft genome,"Bacteria, Firmicutes, Negativicutes, Selenomonadales, Veillonellaceae, Megamonas","(462405.0, 462661.0)",,,
NC_021042,Faecalibacterium prausnitzii L2-6,"Bacteria, Firmicutes, Clostridia, Clostridiales, Ruminococcaceae, Faecalibacterium","(1999173.0, 1999747.0)",,,
NC_021043,Eubacterium siraeum V10Sc8a draft genome,"Bacteria, Firmicutes, Clostridia, Clostridiales, Ruminococcaceae, Ruminiclostridium","(608776.0, 611862.0)",,,
NC_021044,Eubacterium rectale M104/1 draft genome,"Bacteria, Firmicutes, Clostridia, Clostridiales, Eubacteriaceae, Eubacterium","(3064248.0, 3064684.0)",,,
NC_021046,Enterobacter cloacae subsp. cloacae NCTC 9394 draft genome,"Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae, Enterobacter, Enterobacter cloacae complex","(449353.0, 449726.0)",,,
NC_021050,Chlamydia trachomatis L2/434/Bu(i),"Bacteria, Chlamydiae, Chlamydiales, Chlamydiaceae, Chlamydia/Chlamydophila group, Chlamydia","(1038546.0, 1038842.0)",,,
NC_021052,Chlamydia trachomatis L2/434/Bu(f),"Bacteria, Chlamydiae, Chlamydiales, Chlamydiaceae, Chlamydia/Chlamydophila group, Chlamydia","(1038546.0, 1038842.0)",,,
NC_021055,Streptomyces sp. PAMC26508,"Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Streptomycineae, Streptomycetaceae, Streptomyces","(3761479.0, 3762554.0)",,,
NC_021064,Propionibacterium avidum 44067,"Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Propionibacterineae, Propionibacteriaceae, Propionibacterium","(2310348.0, 2310912.0)",,,
NC_021066,Raoultella ornithinolytica B6,"Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae, Raoultella","(4106198.0, 4106578.0)",,,
NC_021082,Mannheimia haemolytica M42548,"Bacteria, Proteobacteria, Gammaproteobacteria, Pasteurellales, Pasteurellaceae, Mannheimia","(507983.0, 508430.0)",,,
NC_021083,Mycoplasma putrefaciens Mput9231,"Bacteria, Tenericutes, Mollicutes, Mycoplasmataceae, Mycoplasma","(1357.0, 1658.0)",,,
NC_021084,Wolbachia endosymbiont of Drosophila simulans wNo,"Bacteria, Proteobacteria, Alphaproteobacteria, Rickettsiales, Anaplasmataceae, Wolbachieae, Wolbachia","(580759.0, 581163.0)",,,
NC_021085,Propionibacterium acnes HL096PA1,"Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Propionibacterineae, Propionibacteriaceae, Propionibacterium","(2493934.0, 244.0)",,,
NC_021089,Wolbachia endosymbiont of Drosophila simulans wHa,"Bacteria, Proteobacteria, Alphaproteobacteria, Rickettsiales, Anaplasmataceae, Wolbachieae, Wolbachia","(1017367.0, 1017768.0)",,,
NC_021149,Azotobacter vinelandii CA,"Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Azotobacter","(5366117.0, 100.0)",,,
NC_021150,Azotobacter vinelandii CA6,"Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Azotobacter","(5322957.0, 100.0)",,,
NC_021151,Salmonella enterica subsp. enterica serovar Typhimurium str. U288,"Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae, Salmonella","(4078685.0, 4079062.0)",,,
NC_021172,Hyphomicrobium denitrificans 1NES1,"Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Hyphomicrobiaceae, Hyphomicrobium","(3401206.0, 3401664.0)",,,
NC_021173,Burkholderia thailandensis MSMB121 chromosome 1,"Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Burkholderiaceae, Burkholderia, pseudomallei group","(144167.0, 144836.0)",,,
NC_021174,Burkholderia thailandensis MSMB121 chromosome 2,"Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Burkholderiaceae, Burkholderia, pseudomallei group","(1457328.0, 1457809.0)",,,
NC_021175,Streptococcus oligofermentans AS 1.3089,"Bacteria, Firmicutes, Bacilli, Lactobacillales, Streptococcaceae, Streptococcus","(2141793.0, 2142004.0)",,,
NC_021176,Salmonella enterica subsp. enterica serovar Typhi str. Ty21a,"Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae, Salmonella","(3750546.0, 3750923.0)",,,
NC_021177,Streptomyces fulvissimus DSM 40593 chromosome,"Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Streptomycineae, Streptomycetaceae, Streptomyces","(4028541.0, 4029456.0)",,,
NC_021179,Treponema pallidum str. Fribourg-Blanc,"Bacteria, Spirochaetes, Spirochaetales, Spirochaetaceae, Treponema","(1399.0, 1640.0)",,,
NC_021181,Lactobacillus acidophilus La-14,"Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus","(1991134.0, 30.0)",,,
NC_021184,Desulfotomaculum gibsoniae DSM 7213,"Bacteria, Firmicutes, Clostridia, Clostridiales, Peptococcaceae, Desulfotomaculum","(179.0, 551.0)",,,
NC_021191,Actinoplanes sp. N902-109,"Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Micromonosporineae, Micromonosporaceae, Actinoplanes","(1843.0, 3961.0)",,,
NC_021214,Thermotoga maritima MSB8,"Bacteria, Thermotogae, Thermotogales, Thermotogaceae, Thermotoga","(156961.0, 157517.0)",,,
NC_021219,Candidatus Saccharimonas aalborgensis,"Bacteria, Candidatus Saccharibacteria, Candidatus Saccharimonas","(520783.0, 521242.0)",,,
NC_021232,Klebsiella pneumoniae subsp. rhinoscleromatis strain SB3432,"Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae, Klebsiella","(107647.0, 108027.0)",,,
NC_021237,Pseudomonas protegens CHA0,"Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas","(6867460.0, 100.0)",,,
NC_021251,Mycobacterium tuberculosis CCDC5079,"Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Corynebacterineae, Mycobacteriaceae, Mycobacterium, Mycobacterium tuberculosis complex","(4413723.0, 4414325.0)",,,
NC_021252,Amycolatopsis orientalis HCCB10007,"Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Pseudonocardineae, Pseudonocardiaceae, Amycolatopsis","(1636.0, 2535.0)",,,
NC_021280,Spiroplasma chrysopicola DF-1,"Bacteria, Tenericutes, Mollicutes, Entomoplasmatales, Spiroplasmataceae, Spiroplasma","(1123109.0, 182.0)",,,
NC_021283,Mycoplasma hyopneumoniae 168-L,"Bacteria, Tenericutes, Mollicutes, Mycoplasmataceae, Mycoplasma","(1393.0, 1584.0)",,,
NC_021284,Spiroplasma syrphidicola EA-1,"Bacteria, Tenericutes, Mollicutes, Entomoplasmatales, Spiroplasmataceae, Spiroplasma","(1107132.0, 181.0)",,,
NC_021285,Achromobacter xylosoxidans NH44784-1996 complete genome,"Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Alcaligenaceae, Achromobacter","(2384720.0, 2387234.0)",,,
NC_021286,Idiomarina loihiensis GSL 199,"Bacteria, Proteobacteria, Gammaproteobacteria, Alteromonadales, Idiomarinaceae, Idiomarina","(2839390.0, 476.0)",,,
NC_021287,Burkholderia sp. RPE64 DNA,"Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Burkholderiaceae, Burkholderia","(3013347.0, 353.0)",,,
NC_021290,Aeromonas hydrophila ML09-119,"Bacteria, Proteobacteria, Gammaproteobacteria, Aeromonadales, Aeromonadaceae, Aeromonas","(5009163.0, 5009671.0)",,,
NC_021291,Spiribacter salinus M19-40,"Bacteria, Proteobacteria, Gammaproteobacteria, Chromatiales, Ectothiorhodospiraceae, Spiribacter","(1439.0, 1655.0)",,,
NC_021350,Legionella pneumophila subsp. pneumophila str. Thunder Bay,"Bacteria, Proteobacteria, Gammaproteobacteria, Legionellales, Legionellaceae, Legionella","(3455060.0, 653.0)",,,
NC_021351,Corynebacterium glutamicum SCgG1,"Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Corynebacterineae, Corynebacteriaceae, Corynebacterium","(1576.0, 2291.0)",,,
NC_021352,Corynebacterium glutamicum SCgG2,"Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Corynebacterineae, Corynebacteriaceae, Corynebacterium","(1576.0, 2291.0)",,,
NC_021487,Chthonomonas calidirosea T49 complete genome,"Bacteria, Armatimonadetes, Chthonomonadetes, Chthonomonadales, Chthonomonadaceae, Chthonomonas","(2289384.0, 2290242.0)",,,
NC_021490,Treponema pallidum subsp. pallidum str. Nichols,"Bacteria, Spirochaetes, Spirochaetales, Spirochaetaceae, Treponema","(1399.0, 1640.0)",,,
NC_021491,Pseudomonas putida H8234,"Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas","(6839407.0, 6840002.0)",,,
NC_021499,Pseudomonas resinovorans NBRC 106553 DNA,"Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas","(6285821.0, 489.0)",,,
NC_021500,Enterobacter sp. R4-368,"Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae, Enterobacter","(3013913.0, 3014284.0)",,,
NC_021505,Pseudomonas putida NBRC 14164 DNA,"Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas","(6156490.0, 384.0)",,,
NC_021508,Treponema pallidum subsp. pallidum SS14,"Bacteria, Spirochaetes, Spirochaetales, Spirochaetaceae, Treponema","(1399.0, 1640.0)",,,
NC_021521,Haemophilus parasuis ZJ0906,"Bacteria, Proteobacteria, Gammaproteobacteria, Pasteurellales, Pasteurellaceae, Haemophilus","(2036435.0, 2036953.0)",,,
NC_021577,Pseudomonas aeruginosa RP73,"Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas","(6341843.0, 881.0)",,,
NC_021591,Serratia plymuthica 4Rx13,"Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae, Serratia","(5295218.0, 5295598.0)",,,
NC_021659,Serratia plymuthica S13,"Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae, Serratia","(5434585.0, 5434965.0)",,,
NC_021661,Psychrobacter sp. G,"Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Moraxellaceae, Psychrobacter","(3079003.0, 220.0)",,,
NC_021710,Alteromonas macleodii str. 'Ionian Sea U4',"Bacteria, Proteobacteria, Gammaproteobacteria, Alteromonadales, Alteromonadaceae, Alteromonas","(4320721.0, 100.0)",,,
NC_021712,Alteromonas macleodii str. 'Ionian Sea U8',"Bacteria, Proteobacteria, Gammaproteobacteria, Alteromonadales, Alteromonadaceae, Alteromonas","(4394460.0, 38.0)",,,
NC_021713,Alteromonas macleodii str. 'Ionian Sea UM7',"Bacteria, Proteobacteria, Gammaproteobacteria, Alteromonadales, Alteromonadaceae, Alteromonas","(4627776.0, 5.0)",,,
NC_021714,Alteromonas macleodii str. 'Ionian Sea UM4b',"Bacteria, Proteobacteria, Gammaproteobacteria, Alteromonadales, Alteromonadaceae, Alteromonas","(4430629.0, 4431412.0)",,,
NC_021715,Mycobacterium yongonense 05-1390,"Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Corynebacterineae, Mycobacteriaceae, Mycobacterium, Mycobacterium avium complex (MAC)","(5520206.0, 32.0)",,,
NC_021716,Alteromonas macleodii str. 'English Channel 615',"Bacteria, Proteobacteria, Gammaproteobacteria, Alteromonadales, Alteromonadaceae, Alteromonas","(4380860.0, 32.0)",,,
NC_021717,Alteromonas macleodii str. 'Ionian Sea U7',"Bacteria, Proteobacteria, Gammaproteobacteria, Alteromonadales, Alteromonadaceae, Alteromonas","(4442459.0, 137.0)",,,
NC_021721,Lactobacillus casei LOCK919,"Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus","(1421.0, 1592.0)",,,
NC_021726,Acinetobacter baumannii BJAB07104,"Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Moraxellaceae, Acinetobacter, Acinetobacter calcoaceticus/baumannii complex","(23466.0, 24134.0)",,,
NC_021729,Acinetobacter baumannii BJAB0868,"Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Moraxellaceae, Acinetobacter, Acinetobacter calcoaceticus/baumannii complex","(23475.0, 24143.0)",,,
NC_021733,Acinetobacter baumannii BJAB0715,"Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Moraxellaceae, Acinetobacter, Acinetobacter calcoaceticus/baumannii complex","(23429.0, 24098.0)",,,
NC_021738,Mannheimia haemolytica D171,"Bacteria, Proteobacteria, Gammaproteobacteria, Pasteurellales, Pasteurellaceae, Mannheimia","(1470444.0, 1470891.0)",,,
NC_021739,Mannheimia haemolytica D174,"Bacteria, Proteobacteria, Gammaproteobacteria, Pasteurellales, Pasteurellaceae, Mannheimia","(1547734.0, 1548291.0)",,,
NC_021741,Serratia liquefaciens ATCC 27592,"Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae, Serratia","(5237823.0, 152.0)",,,
NC_021743,Mannheimia haemolytica D153,"Bacteria, Proteobacteria, Gammaproteobacteria, Pasteurellales, Pasteurellaceae, Mannheimia","(1564271.0, 1564718.0)",,,
NC_021744,Lactobacillus helveticus CNRZ32,"Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus","(2225673.0, 187.0)",,,
NC_021810,Salmonella enterica subsp. enterica serovar Heidelberg str. 41578,"Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae, Salmonella","(1027353.0, 1027730.0)",,,
NC_021812,Salmonella enterica subsp. enterica serovar Heidelberg str. CFSAN002069,"Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae, Salmonella","(4526128.0, 4526505.0)",,,
NC_021814,Salmonella enterica subsp. enterica serovar Typhimurium var. 5- str. CFSAN001921,"Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae, Salmonella","(4343262.0, 4343639.0)",,,
